Days_since_March1,cases,NV_proportion,mean_CT,OR_only,vaccinated
0,2,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,6,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0
7,3,0.0,0.0,0.0,0.0
8,16,0.0,0.0,0.0,0.0
9,21,0.0,0.0,0.0,0.0
10,25,0.0,0.0,0.0,0.0
11,38,0.0,0.0,0.0,0.0
12,48,0.0,0.0,0.0,0.0
13,19,0.0,0.0,0.0,0.0
14,12,0.0,0.0,0.0,0.0
15,21,0.0,0.0,0.0,0.0
16,43,0.0,0.0,0.0,0.0
17,41,0.0,0.0,0.0,0.0
18,50,0.0,0.0,0.0,0.0
19,84,0.0,0.0,0.0,0.0
20,67,0.0,0.0,0.0,0.0
21,74,0.0,0.0,0.0,0.0
22,138,0.0,0.0,0.0,0.0
23,167,0.0,0.0,0.0,0.0
24,188,0.0,0.0,0.0,0.0
25,223,0.0,0.0,0.0,0.0
26,274,0.0,0.0,0.0,0.0
27,204,0.0,0.0,0.0,0.0
28,197,0.0,0.0,0.0,0.0
29,317,0.0,0.0,0.0,0.0
30,341,0.0,0.0,0.0,0.0
31,389,0.0,0.0,0.0,0.0
32,351,0.0,0.0,0.0,0.0
33,381,0.0,0.0,0.0,0.0
34,260,0.0,0.0,0.0,0.0
35,225,0.0,0.0,0.0,0.0
36,404,0.0,0.0,0.0,0.0
37,352,0.0,0.0,0.0,0.0
38,343,0.0,0.0,0.0,0.0
39,304,0.0,0.0,0.0,0.0
40,329,0.0,0.0,0.0,0.0
41,185,0.0,0.0,0.0,0.0
42,220,0.0,0.0,0.0,0.0
43,359,0.0,0.0,0.0,0.0
44,346,0.0,0.0,0.0,0.0
45,331,0.0,0.0,0.0,0.0
46,428,0.0,0.0,0.0,0.0
47,394,0.0,0.0,0.0,0.0
48,264,0.0,0.0,0.0,0.0
49,159,0.0,0.0,0.0,0.0
50,348,0.0,0.0,0.0,0.0
