Days_since_March1,cases,NV_proportion,mean_CT,OR_only,vaccinated
0,2,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0
7,4,0.0,0.0,0.0,0.0
8,8,0.0,0.0,0.0,0.0
9,17,0.0,0.0,0.0,0.0
10,28,0.0,0.0,0.0,0.0
11,47,0.0,0.0,0.0,0.0
12,39,0.0,0.0,0.0,0.0
13,31,0.0,0.0,0.0,0.0
14,44,0.0,0.0,0.0,0.0
15,56,0.0,0.0,0.0,0.0
16,68,0.0,0.0,0.0,0.0
17,99,0.0,0.0,0.0,0.0
18,122,0.0,0.0,0.0,0.0
19,152,0.0,0.0,0.0,0.0
20,125,0.0,0.0,0.0,0.0
21,111,0.0,0.0,0.0,0.0
22,239,0.0,0.0,0.0,0.0
23,250,0.0,0.0,0.0,0.0
24,238,0.0,0.0,0.0,0.0
25,313,0.0,0.0,0.0,0.0
26,279,0.0,0.0,0.0,0.0
27,323,0.0,0.0,0.0,0.0
28,366,0.0,0.0,0.0,0.0
29,430,0.0,0.0,0.0,0.0
30,415,0.0,0.0,0.0,0.0
31,408,0.0,0.0,0.0,0.0
32,448,0.0,0.0,0.0,0.0
33,373,0.0,0.0,0.0,0.0
34,345,0.0,0.0,0.0,0.0
35,290,0.0,0.0,0.0,0.0
36,359,0.0,0.0,0.0,0.0
37,382,0.0,0.0,0.0,0.0
38,360,0.0,0.0,0.0,0.0
39,345,0.0,0.0,0.0,0.0
40,362,0.0,0.0,0.0,0.0
41,252,0.0,0.0,0.0,0.0
42,238,0.0,0.0,0.0,0.0
43,279,0.0,0.0,0.0,0.0
44,321,0.0,0.0,0.0,0.0
45,388,0.0,0.0,0.0,0.0
46,510,0.0,0.0,0.0,0.0
47,446,0.0,0.0,0.0,0.0
48,548,0.0,0.0,0.0,0.0
49,340,0.0,0.0,0.0,0.0
50,404,0.0,0.0,0.0,0.0
51,494,0.0,0.0,0.0,0.0
52,578,0.0,0.0,0.0,0.0
53,550,0.0,0.0,0.0,0.0
54,479,0.0,0.0,0.0,0.0
55,385,0.0,0.0,0.0,0.0
56,316,0.0,0.0,0.0,0.0
57,417,0.0,0.0,0.0,0.0
58,375,0.0,0.0,0.0,0.0
59,441,0.0,0.0,0.0,0.0
60,451,0.0,0.0,0.0,0.0
61,471,0.0,0.0,0.0,0.0
62,319,0.0,0.0,0.0,0.0
63,299,0.0,0.0,0.0,0.0
64,237,0.0,0.0,0.0,0.0
65,318,0.0,0.0,0.0,0.0
66,313,0.0,0.0,0.0,0.0
67,370,0.0,0.0,0.0,0.0
68,342,0.0,0.0,0.0,0.0
69,163,0.0,0.0,0.0,0.0
70,218,0.0,0.0,0.0,0.0
71,251,0.0,0.0,0.0,0.0
72,309,0.0,0.0,0.0,0.0
73,244,0.0,0.0,0.0,0.0
74,257,0.0,0.0,0.0,0.0
75,265,0.0,0.0,0.0,0.0
76,175,0.0,0.0,0.0,0.0
77,172,0.0,0.0,0.0,0.0
78,207,0.0,0.0,0.0,0.0
79,278,0.0,0.0,0.0,0.0
80,253,0.0,0.0,0.0,0.0
81,224,0.0,0.0,0.0,0.0
82,196,0.0,0.0,0.0,0.0
83,148,0.0,0.0,0.0,0.0
84,135,0.0,0.0,0.0,0.0
85,137,0.0,0.0,0.0,0.0
86,151,0.0,0.0,0.0,0.0
87,194,0.0,0.0,0.0,0.0
88,156,0.0,0.0,0.0,0.0
89,154,0.0,0.0,0.0,0.0
90,115,0.0,0.0,0.0,0.0
91,78,0.0,0.0,0.0,0.0
92,123,0.0,0.0,0.0,0.0
93,125,0.0,0.0,0.0,0.0
94,124,0.0,0.0,0.0,0.0
95,136,0.0,0.0,0.0,0.0
96,102,0.0,0.0,0.0,0.0
97,78,0.0,0.0,0.0,0.0
98,64,0.0,0.0,0.0,0.0
99,119,0.0,0.0,0.0,0.0
100,101,0.0,0.0,0.0,0.0
101,92,0.0,0.0,0.0,0.0
102,92,0.0,0.0,0.0,0.0
103,79,0.0,0.0,0.0,0.0
104,86,0.0,0.0,0.0,0.0
105,75,0.0,0.0,0.0,0.0
106,102,0.0,0.0,0.0,0.0
107,107,0.0,0.0,0.0,0.0
108,79,0.0,0.0,0.0,0.0
109,84,0.0,0.0,0.0,0.0
110,52,0.0,0.0,0.0,0.0
111,49,0.0,0.0,0.0,0.0
112,37,0.0,0.0,0.0,0.0
113,67,0.0,0.0,0.0,0.0
114,55,0.0,0.0,0.0,0.0
115,53,0.0,0.0,0.0,0.0
116,56,0.0,0.0,0.0,0.0
117,68,0.0,0.0,0.0,0.0
118,45,0.0,0.0,0.0,0.0
119,25,0.0,0.0,0.0,0.0
120,57,0.0,0.0,0.0,0.0
121,51,0.0,0.0,0.0,0.0
122,50,0.0,0.0,0.0,0.0
123,55,0.0,0.0,0.0,0.0
124,41,0.0,0.0,0.0,0.0
125,24,0.0,0.0,0.0,0.0
126,37,0.0,0.0,0.0,0.0
127,53,0.0,0.0,0.0,0.0
128,61,0.0,0.0,0.0,0.0
129,65,0.0,0.0,0.0,0.0
130,122,0.0,0.0,0.0,0.0
131,43,0.0,0.0,0.0,0.0
132,40,0.0,0.0,0.0,0.0
133,38,0.0,0.0,0.0,0.0
134,78,0.0,0.0,0.0,0.0
135,72,0.0,0.0,0.0,0.0
136,108,0.0,0.0,0.0,0.0
137,65,0.0,0.0,0.0,0.0
138,69,0.0,0.0,0.0,0.0
139,51,0.0,0.0,0.0,0.0
140,40,0.0,0.0,0.0,0.0
141,83,0.0,0.0,0.0,0.0
142,80,0.0,0.0,0.0,0.0
143,77,0.0,0.0,0.0,0.0
144,87,0.0,0.0,0.0,0.0
